"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
2589,2589,2537,2486,2142,1870,0.0205,"Northwest","Bryant","WA","Washington","53061","Snohomish County",422,"washington/bryant",6.141,-122.178,48.2465,"CDP",286
2533,2533,2510,2498,2440,2544,0.00916,"Southeast","Dayton","WA","Washington","53013","Columbia County",1757,"washington/dayton",1.442,-117.977,46.3168,"City",287
2507,2507,2476,2461,2383,1799,0.01252,"West","Rainier","WA","Washington","53067","Thurston County",1442,"washington/rainier",1.738,-122.687,46.8917,"City",288
2476,2476,2299,2122,1903,0,0.07699,"Southwest","Beacon Hill","WA","Washington","53015|53069","Cowlitz County",2155,"washington/beacon-hill",1.149,-122.921,46.1712,"CDP",289
2434,2434,2418,2418,2370,2612,0.00662,"Northeast","Okanogan","WA","Washington","53047","Okanogan County",1210,"washington/okanogan",2.011,-119.579,48.3673,"City",290
2432,2432,2437,2440,2452,2115,-0.00205,"Southwest","Castle Rock","WA","Washington","53015","Cowlitz County",1161,"washington/castle-rock",2.095,-122.904,46.2719,"City",291
2430,2430,2412,2428,2357,1979,0.00746,"Central","Leavenworth","WA","Washington","53007","Chelan County",1672,"washington/leavenworth",1.453,-120.664,47.5947,"City",292
2410,2410,2411,2400,2412,2165,-0.00041,"West","Gold Bar","WA","Washington","53061","Snohomish County",2276,"washington/gold-bar",1.059,-121.692,47.8563,"City",293
2396,2396,2225,2054,1817,0,0.07685,"West","Kitsap Lake","WA","Washington","53035|53045","Kitsap County",2069,"washington/kitsap-lake",1.158,-122.709,47.5904,"CDP",294
2365,2365,2377,2390,2774,2541,-0.00505,"Southwest","Meadow Glade","WA","Washington","53011","Clark County",650,"washington/meadow-glade",3.638,-122.561,45.7523,"CDP",295
2361,2361,2355,2349,2800,2279,0.00255,"Southwest","Carson","WA","Washington","53059","Skamania County",493,"washington/carson",4.79,-121.826,45.7348,"CDP",296
2339,2339,2303,2267,2251,1835,0.01563,"Northwest","Big Lake","WA","Washington","53057","Skagit County",305,"washington/big-lake",7.665,-122.243,48.3958,"CDP",297
2319,2319,2333,2346,1958,2507,-0.006,"West","South Creek","WA","Washington","53053","Pierce County",302,"washington/south-creek",7.678,-122.391,47.0004,"CDP",298
2307,2307,2286,2264,2221,2080,0.00919,"West","Westport","WA","Washington","53027","Grays Harbor County",628,"washington/westport",3.675,-124.12,46.8918,"City",299
2297,2297,2273,2249,2504,1963,0.01056,"West","Allyn","WA","Washington","53045","Mason County",1438,"washington/allyn",1.597,-122.839,47.3868,"CDP",300
2246,2246,2217,2201,2128,2150,0.01308,"Northeast","Newport","WA","Washington","53051|53063","Pend Oreille County",1522,"washington/newport",1.476,-117.055,48.1782,"City",301
2241,2241,2150,2059,1892,967,0.04233,"South","Summitview","WA","Washington","53077","Yakima County",507,"washington/summitview",4.417,-120.656,46.5983,"CDP",302
2222,2222,2211,2229,2178,1871,0.00498,"West","Cle Elum","WA","Washington","53037","Kittitas County",495,"washington/cle-elum",4.492,-120.953,47.1946,"City",303
2221,2221,2140,2059,1897,1793,0.03785,"Southwest","Napavine","WA","Washington","53041","Lewis County",768,"washington/napavine",2.892,-122.902,46.5868,"City",304
2181,2181,2176,2199,2161,1788,0.0023,"West","Carnation","WA","Washington","53033","King County",1883,"washington/carnation",1.158,-121.901,47.6442,"City",305
2164,2164,2156,2129,2131,2415,0.00371,"Northeast","Bridgeport","WA","Washington","53017|53047","Douglas County",2019,"washington/bridgeport",1.072,-119.673,48.007,"City",306
2098,2098,1944,1730,1482,1357,0.07922,"Southwest","Winlock","WA","Washington","53041","Lewis County",1624,"washington/winlock",1.292,-122.934,46.4907,"City",307
2090,2090,2103,2115,2385,2262,-0.00618,"West","Shadow Lake","WA","Washington","53033","King County",402,"washington/shadow-lake",5.194,-122.08,47.4061,"CDP",308
2063,2063,2044,2047,1987,2371,0.0093,"Northeast","Brewster","WA","Washington","53017|53047","Douglas County",1791,"washington/brewster",1.152,-119.77,48.107,"City",309
2058,2058,2077,2096,2596,2321,-0.00915,"Northwest","Geneva","WA","Washington","53057|53073","Skagit County",1496,"washington/geneva",1.376,-122.403,48.7453,"CDP",310
2046,2046,2076,2105,2278,2458,-0.01445,"West","Cathcart","WA","Washington","53061","Snohomish County",530,"washington/cathcart",3.864,-122.106,47.8526,"CDP",311
2043,2043,2037,2041,2019,1652,0.00295,"West","McCleary","WA","Washington","53027|53045","Grays Harbor County",997,"washington/mccleary",2.05,-123.27,47.0585,"City",312
2026,2026,2033,2041,2521,2132,-0.00344,"West","Riverbend","WA","Washington","53033","King County",679,"washington/riverbend",2.985,-121.751,47.4645,"CDP",313
2022,2022,2020,2018,2357,1993,0.00099,"West","Fall City","WA","Washington","53033","King County",712,"washington/fall-city",2.838,-121.914,47.5694,"CDP",314
1996,1996,2017,2038,2119,2289,-0.01041,"West","Lofall","WA","Washington","53035","Kitsap County",998,"washington/lofall",1.999,-122.652,47.8105,"CDP",315
1966,1966,1943,1930,1873,1690,0.01184,"Southwest","Tenino","WA","Washington","53067","Thurston County",1350,"washington/tenino",1.456,-122.86,46.8538,"City",316
1962,1962,1934,1906,1980,1573,0.01448,"Southwest","Ocean Park","WA","Washington","53049","Pacific County",648,"washington/ocean-park",3.028,-124.041,46.4967,"CDP",317
1956,1956,1951,1946,1989,1884,0.00256,"Southwest","Fern Prairie","WA","Washington","53011|53059","Clark County",390,"washington/fern-prairie",5.017,-122.396,45.637,"CDP",318
1949,1949,1911,1873,1815,1419,0.01988,"Southeast","Garrett","WA","Washington","53071|41059","Walla Walla County",749,"washington/garrett",2.603,-118.4,46.059,"CDP",319
1939,1939,1943,1944,1955,2294,-0.00206,"South","Mabton","WA","Washington","53077","Yakima County",2300,"washington/mabton",0.843,-119.994,46.2115,"City",320
1938,1938,1799,1661,1500,0,0.07727,"Northwest","Kayak Point","WA","Washington","53057|53061","Skagit County",354,"washington/kayak-point",5.474,-122.342,48.1425,"CDP",321
1934,1934,1897,1882,1785,2151,0.0195,"East","Royal City","WA","Washington","53025","Grant County",1662,"washington/royal-city",1.164,-119.621,46.9019,"City",322
1930,1930,1901,1872,1898,1523,0.01526,"West","Wilderness Rim","WA","Washington","53033","King County",3103,"washington/wilderness-rim",0.622,-121.769,47.447,"CDP",323
1922,1922,1928,1941,1944,1837,-0.00311,"Northwest","Coupeville","WA","Washington","53029","Island County",1513,"washington/coupeville",1.27,-122.679,48.2188,"Town",324
1916,1916,1898,1880,1740,1666,0.00948,"West","Monroe North","WA","Washington","53061","Snohomish County",914,"washington/monroe-north",2.097,-121.987,47.883,"CDP",325
1914,1914,1934,1953,2300,2185,-0.01034,"West","Southworth","WA","Washington","53035","Kitsap County",567,"washington/southworth",3.375,-122.532,47.5138,"CDP",326
1869,1869,1881,1894,1883,2045,-0.00638,"Northwest","Freeland","WA","Washington","53029","Island County",482,"washington/freeland",3.879,-122.55,48.0282,"CDP",327
1866,1866,1852,1852,1809,1711,0.00756,"Northeast","Oroville","WA","Washington","53047","Okanogan County",1104,"washington/oroville",1.69,-119.43,48.947,"City",328
1852,1852,1839,1826,2459,1672,0.00707,"Southeast","Walla Walla East","WA","Washington","41059|53071","Umatilla County",828,"washington/walla-walla-east",2.237,-118.303,46.046,"CDP",329
1847,1847,1856,1882,1882,1786,-0.00485,"East","Millwood","WA","Washington","53063","Spokane County",2654,"washington/millwood",0.696,-117.28,47.6856,"City",330
1800,1800,1834,1869,1993,2286,-0.01854,"West","Enetai","WA","Washington","53035","Kitsap County",1719,"washington/enetai",1.047,-122.603,47.5859,"CDP",331
1797,1797,1775,1776,1709,1736,0.01239,"East","Davenport","WA","Washington","53043|53065","Lincoln County",1078,"washington/davenport",1.667,-118.152,47.655,"City",332
1776,1776,1770,1771,1752,1631,0.00339,"Southwest","South Bend","WA","Washington","53049","Pacific County",1082,"washington/south-bend",1.641,-123.802,46.6699,"City",333
1773,1773,1756,1748,1704,1389,0.00968,"Southwest","Long Beach","WA","Washington","53049","Pacific County",1286,"washington/long-beach",1.379,-124.058,46.3619,"City",334
1762,1762,1786,1810,2389,2101,-0.01344,"West","Stansberry Lake","WA","Washington","53035|53053","Kitsap County",852,"washington/stansberry-lake",2.068,-122.712,47.3829,"CDP",335
