"population","pop2024","pop2023","pop2022","pop2020","pop2010","growth","region","city","usps","state","countyFips","county","densityMi","slug","areaMi","lng","lat","type","rank"
922,922,927,932,881,995,-0.00539,"Northwest","Carlsborg","WA","Washington","53009|53031","Clallam County",871,"washington/carlsborg",1.058,-123.17,48.0842,"CDP",412
922,922,922,923,1008,931,0,"West","Dash Point","WA","Washington","53033|53053","King County",1454,"washington/dash-point",0.634,-122.414,47.3125,"CDP",413
910,910,905,900,762,837,0.00552,"Northwest","Bell Hill","WA","Washington","53009|53031","Clallam County",343,"washington/bell-hill",2.651,-123.087,48.055,"CDP",414
910,910,885,823,808,504,0.02825,"East","George","WA","Washington","53025|53017","Grant County",660,"washington/george",1.378,-119.862,47.0831,"City",415
888,888,885,882,943,844,0.00339,"Northwest","Marrowstone","WA","Washington","53031","Jefferson County",141,"washington/marrowstone",6.3,-122.684,48.032,"CDP",416
887,887,880,874,889,797,0.00795,"West","Brinnon","WA","Washington","53031","Jefferson County",93,"washington/brinnon",9.589,-122.917,47.6686,"CDP",417
882,882,878,873,759,818,0.00456,"West","May Creek","WA","Washington","53061","Snohomish County",1387,"washington/may-creek",0.636,-121.674,47.8555,"CDP",418
878,878,816,753,615,0,0.07598,"Northwest","Roche Harbor","WA","Washington","53055","San Juan County",219,"washington/roche-harbor",4.016,-123.131,48.6074,"CDP",419
866,866,844,822,771,557,0.02607,"Southwest","Trout Lake","WA","Washington","53039","Klickitat County",125,"washington/trout-lake",6.94,-121.529,45.9978,"CDP",420
864,864,881,898,854,1105,-0.0193,"West","Seabeck","WA","Washington","53035|53045","Kitsap County",260,"washington/seabeck",3.318,-122.818,47.6443,"CDP",421
858,858,829,800,718,454,0.03498,"Northwest","River Road","WA","Washington","53009|53031","Clallam County",2438,"washington/river-road",0.352,-123.128,48.0677,"CDP",422
839,839,844,850,783,916,-0.00592,"West","Port Gamble Tribal Community","WA","Washington","53035","Kitsap County",198,"washington/port-gamble-tribal-community",4.229,-122.557,47.8462,"CDP",423
820,820,822,823,657,840,-0.00243,"West","Taholah","WA","Washington","53027","Grays Harbor County",237,"washington/taholah",3.458,-124.273,47.326,"CDP",424
805,805,762,731,633,720,0.05643,"Southwest","Toledo","WA","Washington","53041","Lewis County",2043,"washington/toledo",0.394,-122.852,46.4447,"City",425
804,804,805,803,808,780,-0.00124,"East","Tekoa","WA","Washington","16009|53063|53075","Benewah County",656,"washington/tekoa",1.226,-117.073,47.2247,"City",426
800,800,793,788,770,759,0.00883,"Southwest","Mossyrock","WA","Washington","53041","Lewis County",1163,"washington/mossyrock",0.688,-122.489,46.5305,"City",427
796,796,765,734,737,363,0.04052,"Northwest","Clallam Bay","WA","Washington","53009","Clallam County",1409,"washington/clallam-bay",0.565,-124.258,48.2535,"CDP",428
787,787,796,804,821,779,-0.01131,"West","Roy","WA","Washington","53053","Pierce County",1629,"washington/roy",0.483,-122.541,46.9899,"City",429
784,784,776,768,638,675,0.01031,"West","Satsop","WA","Washington","53027|53045","Grays Harbor County",112,"washington/satsop",7.02,-123.483,47.0229,"CDP",430
782,782,787,794,800,704,-0.00635,"Northwest","Concrete","WA","Washington","53057|53073","Skagit County",667,"washington/concrete",1.173,-121.755,48.5326,"Town",431
772,772,774,774,780,715,-0.00258,"Southwest","Bingen","WA","Washington","53039|53059","Klickitat County",1241,"washington/bingen",0.622,-121.472,45.7131,"City",432
751,751,713,675,489,217,0.0533,"Southwest","Ashford","WA","Washington","53041|53053","Lewis County",304,"washington/ashford",2.467,-122.015,46.7549,"CDP",433
737,737,737,736,736,607,0,"West","Carbonado","WA","Washington","53053","Pierce County",1772,"washington/carbonado",0.416,-122.052,47.0823,"Town",434
730,730,728,729,721,688,0.00275,"Southwest","Oakville","WA","Washington","53027|53041|53067","Grays Harbor County",1322,"washington/oakville",0.552,-123.234,46.8401,"City",435
699,699,682,679,631,621,0.02493,"Southwest","Vader","WA","Washington","53041","Lewis County",752,"washington/vader",0.929,-122.957,46.4045,"City",436
691,691,679,673,642,570,0.01767,"East","Reardan","WA","Washington","53043|53063","Lincoln County",1393,"washington/reardan",0.496,-117.879,47.6701,"Town",437
688,688,695,702,689,783,-0.01007,"Northeast","Loon Lake","WA","Washington","53065","Stevens County",211,"washington/loon-lake",3.263,-117.626,48.0704,"CDP",438
672,672,666,659,646,629,0.00901,"Southwest","Pe Ell","WA","Washington","53041","Lewis County",1137,"washington/pe-ell",0.591,-123.298,46.5713,"Town",439
664,664,646,629,585,419,0.02786,"Southwest","Naselle","WA","Washington","53049|53069","Pacific County",292,"washington/naselle",2.272,-123.782,46.3705,"CDP",440
648,648,646,644,635,617,0.0031,"West","Skokomish","WA","Washington","53045","Mason County",97,"washington/skokomish",6.669,-123.159,47.3283,"CDP",441
647,647,649,651,771,676,-0.00308,"West","Startup","WA","Washington","53061","Snohomish County",151,"washington/startup",4.276,-121.754,47.8742,"CDP",442
642,642,631,620,512,491,0.01743,"Southwest","East Cathlamet","WA","Washington","53069","Wahkiakum County",375,"washington/east-cathlamet",1.71,-123.36,46.1983,"CDP",443
625,625,630,635,666,696,-0.00794,"Northwest","Bay View","WA","Washington","53057","Skagit County",241,"washington/bay-view",2.597,-122.463,48.487,"CDP",444
621,621,615,616,597,562,0.00976,"Southwest","Bucoda","WA","Washington","53067|53041","Thurston County",1065,"washington/bucoda",0.583,-122.87,46.7953,"Town",445
617,617,611,608,592,679,0.00982,"North","Pateros","WA","Washington","53007|53047","Chelan County",1222,"washington/pateros",0.505,-119.9,48.0531,"City",446
616,616,610,611,591,549,0.00984,"East","Rosalia","WA","Washington","53063|53075","Spokane County",981,"washington/rosalia",0.628,-117.376,47.2363,"Town",447
612,612,611,610,664,596,0.00164,"West","Quilcene","WA","Washington","53031","Jefferson County",69,"washington/quilcene",8.811,-122.912,47.8392,"CDP",448
606,606,595,585,579,462,0.01849,"Northeast","Curlew Lake","WA","Washington","53019|53047","Ferry County",139,"washington/curlew-lake",4.352,-118.668,48.7329,"CDP",449
605,605,594,578,561,533,0.01852,"Southwest","Cathlamet","WA","Washington","53069","Wahkiakum County",1196,"washington/cathlamet",0.506,-123.384,46.2058,"Town",450
602,602,578,556,506,405,0.04152,"North","Winthrop","WA","Washington","53047","Okanogan County",625,"washington/winthrop",0.963,-120.179,48.4716,"Town",451
596,596,594,593,591,575,0.00337,"West","Nisqually Indian Community","WA","Washington","53067","Thurston County",195,"washington/nisqually-indian-community",3.052,-122.68,47.0291,"CDP",452
595,595,597,599,431,621,-0.00335,"Southwest","Onalaska","WA","Washington","53041","Lewis County",371,"washington/onalaska",1.604,-122.711,46.5782,"CDP",453
595,595,595,595,595,543,0,"East","St. John","WA","Washington","53075","Whitman County",887,"washington/st-john",0.671,-117.589,47.0915,"Town",454
589,589,590,597,593,614,-0.00169,"East","Fairfield","WA","Washington","53063","Spokane County",956,"washington/fairfield",0.616,-117.175,47.3848,"Town",455
589,589,574,566,527,473,0.02613,"East","Rockford","WA","Washington","53063","Spokane County",887,"washington/rockford",0.664,-117.131,47.4515,"Town",456
573,573,568,564,515,512,0.0088,"East","Four Lakes","WA","Washington","53063|53075","Spokane County",185,"washington/four-lakes",3.089,-117.579,47.5626,"CDP",457
566,566,570,575,581,626,-0.00702,"South","Harrah","WA","Washington","53077","Yakima County",2073,"washington/harrah",0.273,-120.541,46.4061,"Town",458
560,560,556,550,543,590,0.00719,"Southeast","Albion","WA","Washington","53075","Whitman County",1429,"washington/albion",0.392,-117.251,46.7916,"Town",459
560,560,560,559,558,599,0,"East","Garfield","WA","Washington","53075","Whitman County",596,"washington/garfield",0.94,-117.14,47.0102,"Town",460
555,555,556,563,559,530,-0.0018,"West","South Cle Elum","WA","Washington","53037","Kittitas County",1381,"washington/south-cle-elum",0.402,-120.953,47.1862,"Town",461
551,551,551,551,550,562,0,"East","Coulee City","WA","Washington","53017|53025","Douglas County",596,"washington/coulee-city",0.924,-119.29,47.6117,"Town",462
533,533,526,528,505,445,0.01331,"East","Sprague","WA","Washington","53001|53043|53063","Adams County",507,"washington/sprague",1.052,-117.971,47.3049,"City",463
529,529,515,502,537,342,0.02718,"Southwest","Wishram","WA","Washington","53039","Klickitat County",320,"washington/wishram",1.654,-120.971,45.6613,"CDP",464
527,527,540,554,623,716,-0.02407,"West","McKenna","WA","Washington","53053","Pierce County",484,"washington/mckenna",1.088,-122.55,46.9347,"CDP",465
522,522,542,561,793,793,-0.0369,"South","White Swan","WA","Washington","53077","Yakima County",196,"washington/white-swan",2.667,-120.738,46.377,"CDP",466
520,520,496,473,478,192,0.04839,"Northwest","Lake McMurray","WA","Washington","53057","Skagit County",376,"washington/lake-mcmurray",1.382,-122.233,48.3193,"CDP",467
517,517,522,529,535,564,-0.00958,"East","Lind","WA","Washington","53001","Adams County",468,"washington/lind",1.105,-118.616,46.9703,"Town",468
512,512,544,575,806,953,-0.05882,"Southwest","Grayland","WA","Washington","53027|53049","Grays Harbor County",75,"washington/grayland",6.838,-124.091,46.8416,"CDP",469
496,496,490,485,357,421,0.01224,"Southeast","Touchet","WA","Washington","53071","Walla Walla County",408,"washington/touchet",1.215,-118.672,46.0411,"CDP",470
488,488,467,445,475,185,0.04497,"Southwest","Lower Elochoman","WA","Washington","53069","Wahkiakum County",323,"washington/lower-elochoman",1.511,-123.37,46.2185,"CDP",471
479,479,487,495,255,592,-0.01643,"West","Gorst","WA","Washington","53035|53045","Kitsap County",754,"washington/gorst",0.635,-122.704,47.5245,"CDP",472
479,479,467,455,286,312,0.0257,"South","Tampico","WA","Washington","53077","Yakima County",116,"washington/tampico",4.133,-120.875,46.5322,"CDP",473
478,478,484,489,501,481,-0.0124,"West","Wilkeson","WA","Washington","53053","Pierce County",1026,"washington/wilkeson",0.466,-122.052,47.1013,"Town",474
468,468,506,543,845,990,-0.0751,"South","Buena","WA","Washington","53077","Yakima County",539,"washington/buena",0.869,-120.318,46.4277,"CDP",475
461,461,454,449,431,426,0.01542,"East","Harrington","WA","Washington","53043","Lincoln County",1182,"washington/harrington",0.39,-118.255,47.4802,"City",476
456,456,451,449,436,443,0.01109,"Northeast","Ione","WA","Washington","53051","Pend Oreille County",862,"washington/ione",0.529,-117.422,48.7398,"Town",477
450,450,450,451,416,459,0,"West","Raft Island","WA","Washington","53053","Pierce County",1625,"washington/raft-island",0.277,-122.667,47.3282,"CDP",478
448,448,446,445,662,428,0.00448,"South","Cowiche","WA","Washington","53077","Yakima County",540,"washington/cowiche",0.83,-120.712,46.6719,"CDP",479
448,448,438,429,320,317,0.02283,"Southwest","Rosburg","WA","Washington","53049|53069","Pacific County",20,"washington/rosburg",22.914,-123.643,46.3081,"CDP",480
444,444,445,447,168,466,-0.00225,"Southwest","Chinook","WA","Washington","53049","Pacific County",441,"washington/chinook",1.007,-123.942,46.2755,"CDP",481
443,443,446,448,455,395,-0.00673,"West","Hunts Point","WA","Washington","53033","King County",1443,"washington/hunts-point",0.307,-122.229,47.643,"Town",482
441,441,448,456,642,546,-0.01563,"Southwest","Cherry Grove","WA","Washington","53011","Clark County",190,"washington/cherry-grove",2.317,-122.577,45.8022,"CDP",483
439,439,433,427,174,353,0.01386,"Northwest","Deming","WA","Washington","53073","Whatcom County",160,"washington/deming",2.752,-122.236,48.8304,"CDP",484
438,438,429,420,395,311,0.02098,"West","Snoqualmie Pass","WA","Washington","53033|53037","King County",150,"washington/snoqualmie-pass",2.924,-121.411,47.4014,"CDP",485
430,430,428,425,401,395,0.00467,"Southwest","Ryderwood","WA","Washington","53015","Cowlitz County",2671,"washington/ryderwood",0.161,-123.044,46.3749,"CDP",486
417,417,419,421,423,439,-0.00477,"Northwest","Lyman","WA","Washington","53057|53073","Skagit County",621,"washington/lyman",0.671,-122.066,48.5238,"Town",487
416,416,387,357,447,0,0.07494,"Northwest","Bow","WA","Washington","53057","Skagit County",356,"washington/bow",1.167,-122.408,48.5613,"CDP",488
410,410,380,351,669,0,0.07895,"South","Schwana","WA","Washington","53025","Grant County",1633,"washington/schwana",0.251,-119.923,46.8221,"CDP",489
407,407,405,400,398,431,0.00494,"Southeast","Colton","WA","Washington","53075","Whitman County",660,"washington/colton",0.617,-117.128,46.5675,"Town",490
392,392,364,336,435,0,0.07692,"East","Marine View","WA","Washington","53001|53021|53025","Adams County",438,"washington/marine-view",0.895,-119.351,46.9637,"CDP",491
392,392,392,393,392,422,0,"East","Oakesdale","WA","Washington","53075","Whitman County",377,"washington/oakesdale",1.04,-117.246,47.1305,"Town",492
388,388,388,385,387,294,0,"Southeast","Uniontown","WA","Washington","53075","Whitman County",420,"washington/uniontown",0.923,-117.086,46.5391,"Town",493
386,386,382,378,249,333,0.01047,"West","Kapowsin","WA","Washington","53053","Pierce County",94,"washington/kapowsin",4.12,-122.223,46.9684,"CDP",494
384,384,385,387,387,498,-0.0026,"Southeast","Mesa","WA","Washington","53021","Franklin County",232,"washington/mesa",1.657,-119.001,46.5735,"City",495
370,370,356,341,220,167,0.03933,"Northwest","Lake Cavanaugh","WA","Washington","53057","Skagit County",480,"washington/lake-cavanaugh",0.771,-122.011,48.3168,"CDP",496
368,368,369,369,372,306,-0.00271,"Southeast","Prescott","WA","Washington","53013|53071","Columbia County",922,"washington/prescott",0.399,-118.313,46.2988,"City",497
368,368,387,406,327,631,-0.0491,"West","Union","WA","Washington","53045","Mason County",227,"washington/union",1.624,-123.095,47.3475,"CDP",498
359,359,334,308,0,0,0.07485,"South","Beverly","WA","Washington","53025","Grant County",1910,"washington/beverly",0.188,-119.93,46.8348,"CDP",499
358,358,361,364,150,403,-0.00831,"Northwest","Alger","WA","Washington","53057|53073","Skagit County",137,"washington/alger",2.606,-122.329,48.6103,"CDP",500
358,358,363,367,376,427,-0.01377,"West","South Prairie","WA","Washington","53053","Pierce County",935,"washington/south-prairie",0.383,-122.097,47.1354,"Town",501
348,348,342,336,265,264,0.01754,"West","North Sultan","WA","Washington","53061","Snohomish County",618,"washington/north-sultan",0.563,-121.823,47.8827,"CDP",502
348,348,344,340,158,292,0.01163,"South","Outlook","WA","Washington","53077","Yakima County",2677,"washington/outlook",0.13,-120.093,46.3312,"CDP",503
346,346,371,395,410,688,-0.06739,"Northeast","North Omak","WA","Washington","53047","Okanogan County",31,"washington/north-omak",11.198,-119.446,48.444,"CDP",504
336,336,333,329,562,285,0.00901,"Northwest","Verlot","WA","Washington","53061","Snohomish County",31,"washington/verlot",10.863,-121.759,48.102,"CDP",505
335,335,332,334,322,283,0.00904,"East","Almira","WA","Washington","53025|53043","Grant County",653,"washington/almira",0.513,-118.937,47.7106,"Town",506
335,335,324,313,241,180,0.03395,"Northwest","Oso","WA","Washington","53061","Snohomish County",119,"washington/oso",2.804,-121.916,48.2838,"CDP",507
334,334,332,331,324,281,0.00602,"Northeast","Riverside","WA","Washington","53047","Okanogan County",377,"washington/riverside",0.887,-119.516,48.5129,"Town",508
330,330,333,335,262,362,-0.00901,"Southwest","Klickitat","WA","Washington","53039","Klickitat County",352,"washington/klickitat",0.938,-121.163,45.818,"CDP",509
328,328,328,324,327,320,0,"East","Mansfield","WA","Washington","53017","Douglas County",1012,"washington/mansfield",0.324,-119.638,47.8119,"Town",510
326,326,332,338,325,409,-0.01807,"Northeast","Inchelium","WA","Washington","53019","Ferry County",12,"washington/inchelium",26.421,-118.246,48.3637,"CDP",511
320,320,323,326,322,361,-0.00929,"Northwest","Jamestown","WA","Washington","53009|53031","Clallam County",549,"washington/jamestown",0.583,-123.091,48.1228,"CDP",512
319,319,330,341,341,475,-0.03333,"West","Malone","WA","Washington","53027|53045","Grays Harbor County",35,"washington/malone",9.041,-123.297,46.9842,"CDP",513
318,318,314,309,301,253,0.01274,"Northeast","Nespelem Community","WA","Washington","53047","Okanogan County",14,"washington/nespelem-community",23.494,-119.049,48.1625,"CDP",514
305,305,306,306,308,299,-0.00327,"East","Endicott","WA","Washington","53075","Whitman County",1027,"washington/endicott",0.297,-117.687,46.9282,"Town",515
303,303,316,328,302,478,-0.04114,"West","Easton","WA","Washington","53037","Kittitas County",94,"washington/easton",3.211,-121.16,47.2327,"CDP",516
300,300,304,306,316,300,-0.01316,"West","Beaux Arts Village","WA","Washington","53033","King County",3614,"washington/beaux-arts-village",0.083,-122.204,47.5853,"Town",517
295,295,296,295,297,313,-0.00338,"Southeast","LaCrosse","WA","Washington","53075","Whitman County",345,"washington/lacrosse",0.854,-117.918,46.7955,"Town",518
293,293,295,298,301,301,-0.00678,"Northwest","Hamilton","WA","Washington","53057|53073","Skagit County",245,"washington/hamilton",1.197,-121.995,48.5225,"Town",519
293,293,292,293,289,298,0.00342,"Northeast","Northport","WA","Washington","53065","Stevens County",517,"washington/northport",0.567,-117.78,48.9158,"Town",520
290,290,296,301,298,366,-0.02027,"Northwest","Custer","WA","Washington","53073","Whatcom County",129,"washington/custer",2.244,-122.637,48.9128,"CDP",521
287,287,284,283,274,238,0.01056,"Northeast","Metaline Falls","WA","Washington","53051","Pend Oreille County",1442,"washington/metaline-falls",0.199,-117.372,48.8613,"Town",522
283,283,272,257,239,280,0.04044,"Northeast","Springdale","WA","Washington","53065","Stevens County",250,"washington/springdale",1.131,-117.747,48.0572,"Town",523
276,276,278,281,282,278,-0.00719,"East","Spangle","WA","Washington","53063","Spokane County",791,"washington/spangle",0.349,-117.381,47.4299,"City",524
275,275,256,236,0,0,0.07422,"East","Wheeler","WA","Washington","53025","Grant County",1244,"washington/wheeler",0.221,-119.176,47.1349,"CDP",525
273,273,283,293,515,415,-0.03534,"West","Copalis Beach","WA","Washington","53027","Grays Harbor County",75,"washington/copalis-beach",3.66,-124.166,47.1246,"CDP",526
272,272,272,273,305,279,0,"West","Aberdeen Gardens","WA","Washington","53027","Grays Harbor County",167,"washington/aberdeen-gardens",1.624,-123.778,47.0573,"CDP",527
272,272,275,278,317,315,-0.01091,"West","Neilton","WA","Washington","53027","Grays Harbor County",28,"washington/neilton",9.669,-123.878,47.4031,"CDP",528
269,269,279,288,268,401,-0.03584,"Southwest","Skamokawa Valley","WA","Washington","53069","Wahkiakum County",10,"washington/skamokawa-valley",28.197,-123.401,46.3152,"CDP",529
265,265,246,227,154,0,0.07724,"Northeast","Torboy","WA","Washington","53019|53047","Ferry County",286,"washington/torboy",0.927,-118.669,48.6693,"CDP",530
262,262,244,225,207,0,0.07377,"Central","Crescent Bar","WA","Washington","53017|53025","Douglas County",260,"washington/crescent-bar",1.006,-119.997,47.2166,"CDP",531
260,260,258,256,204,234,0.00775,"Northeast","Keller","WA","Washington","53019","Ferry County",27,"washington/keller",9.515,-118.716,48.0852,"CDP",532
257,257,238,220,303,0,0.07983,"Southwest","Glenwood","WA","Washington","53039","Klickitat County",275,"washington/glenwood",0.936,-121.293,46.0228,"CDP",533
257,257,247,239,215,203,0.04049,"East","Malden","WA","Washington","53075","Whitman County",391,"washington/malden",0.658,-117.473,47.2296,"Town",534
256,256,256,257,309,263,0,"Southwest","Grays River","WA","Washington","53049|53069","Pacific County",13,"washington/grays-river",20.185,-123.581,46.3679,"CDP",535
248,248,309,370,814,1101,-0.19741,"West","Ravensdale","WA","Washington","53033","King County",200,"washington/ravensdale",1.239,-121.98,47.3619,"CDP",536
246,246,244,241,142,211,0.0082,"Northwest","Glacier","WA","Washington","53073","Whatcom County",147,"washington/glacier",1.674,-121.932,48.8921,"CDP",537
245,245,244,244,241,251,0.0041,"Northeast","Elmer City","WA","Washington","53017|53025|53047","Douglas County",1029,"washington/elmer-city",0.238,-118.954,48.0015,"Town",538
243,243,244,245,227,255,-0.0041,"West","Humptulips","WA","Washington","53027","Grays Harbor County",26,"washington/humptulips",9.323,-123.981,47.2337,"CDP",539
242,242,246,251,202,308,-0.01626,"West","Ronald","WA","Washington","53037","Kittitas County",261,"washington/ronald",0.926,-121.033,47.2338,"CDP",540
239,239,262,284,339,554,-0.08779,"West","Keyport","WA","Washington","53035","Kitsap County",478,"washington/keyport",0.5,-122.624,47.7002,"CDP",541
237,237,228,219,88,109,0.03947,"Southwest","La Grande","WA","Washington","53053","Pierce County",56,"washington/la-grande",4.256,-122.283,46.8107,"CDP",542
234,234,230,227,216,233,0.01739,"East","Creston","WA","Washington","53043","Lincoln County",565,"washington/creston",0.414,-118.52,47.7594,"Town",543
219,219,255,291,516,722,-0.14118,"Southwest","Cohassett Beach","WA","Washington","53027","Grays Harbor County",169,"washington/cohassett-beach",1.299,-124.106,46.8649,"CDP",544
219,219,218,218,215,171,0.00459,"Northeast","Marcus","WA","Washington","53019|53065","Ferry County",1000,"washington/marcus",0.219,-118.06,48.6643,"Town",545
216,216,223,231,226,324,-0.03139,"Northwest","Maple Falls","WA","Washington","53073","Whatcom County",101,"washington/maple-falls",2.144,-122.091,48.9188,"CDP",546
213,213,234,254,267,499,-0.08974,"Southwest","Lyle","WA","Washington","53039","Klickitat County",302,"washington/lyle",0.706,-121.281,45.6956,"CDP",547
211,211,206,200,264,133,0.02427,"Northwest","Edison","WA","Washington","53057","Skagit County",165,"washington/edison",1.282,-122.434,48.5676,"CDP",548
204,204,205,206,205,220,-0.00488,"West","Baring","WA","Washington","53033","King County",196,"washington/baring",1.043,-121.482,47.7686,"CDP",549
201,201,199,197,113,174,0.01005,"East","Banks Lake South","WA","Washington","53017|53025","Douglas County",83,"washington/banks-lake-south",2.435,-119.274,47.6301,"CDP",550
201,201,202,203,205,206,-0.00495,"East","Wilson Creek","WA","Washington","53025","Grant County",208,"washington/wilson-creek",0.966,-119.118,47.423,"Town",551
198,198,195,192,108,156,0.01538,"South","Roosevelt","WA","Washington","53039","Klickitat County",52,"washington/roosevelt",3.788,-120.237,45.7331,"CDP",552
198,198,200,201,204,208,-0.01,"Southeast","Washtucna","WA","Washington","53001|53021","Adams County",299,"washington/washtucna",0.662,-118.311,46.7539,"Town",553
197,197,198,198,121,203,-0.00505,"Northwest","Marblemount","WA","Washington","53057|53073","Skagit County",53,"washington/marblemount",3.702,-121.44,48.5418,"CDP",554
195,195,194,195,191,201,0.00515,"Northeast","Conconully","WA","Washington","53047","Okanogan County",924,"washington/conconully",0.211,-119.752,48.5586,"Town",555
193,193,192,190,187,232,0.00521,"Northeast","Nespelem","WA","Washington","53047","Okanogan County",995,"washington/nespelem",0.194,-118.972,48.1669,"Town",556
185,185,179,173,45,101,0.03352,"Northwest","Blyn","WA","Washington","53009|53031","Clallam County",39,"washington/blyn",4.783,-122.98,48.0095,"CDP",557
183,183,175,162,151,203,0.04571,"Northeast","Cusick","WA","Washington","53051","Pend Oreille County",360,"washington/cusick",0.508,-117.292,48.3285,"Town",558
176,176,177,178,179,151,-0.00565,"East","Hartline","WA","Washington","53025","Grant County",527,"washington/hartline",0.334,-119.108,47.6894,"Town",559
175,175,192,209,307,415,-0.08854,"South","Eschbach","WA","Washington","53077","Yakima County",149,"washington/eschbach",1.175,-120.633,46.6651,"CDP",560
173,173,175,178,122,210,-0.01143,"Southwest","Willapa","WA","Washington","53049","Pacific County",622,"washington/willapa",0.278,-123.665,46.6754,"CDP",561
172,172,174,176,178,180,-0.01149,"East","Latah","WA","Washington","53063","Spokane County",538,"washington/latah",0.32,-117.156,47.2821,"Town",562
169,169,169,168,69,160,0,"Southwest","Lebam","WA","Washington","53049","Pacific County",116,"washington/lebam",1.461,-123.551,46.5641,"CDP",563
169,169,167,166,161,172,0.01198,"Northeast","Metaline","WA","Washington","53051","Pend Oreille County",552,"washington/metaline",0.306,-117.387,48.8523,"Town",564
164,164,172,180,152,276,-0.04651,"Southwest","Bay Center","WA","Washington","53049","Pacific County",174,"washington/bay-center",0.941,-123.953,46.6208,"CDP",565
157,157,157,155,155,176,0,"West","Index","WA","Washington","53061","Snohomish County",683,"washington/index",0.23,-121.556,47.8213,"Town",566
153,153,156,159,164,198,-0.01923,"West","Skykomish","WA","Washington","53033","King County",487,"washington/skykomish",0.314,-121.356,47.7099,"Town",567
152,152,155,159,169,204,-0.01935,"Southwest","Deep River","WA","Washington","53049|53069","Pacific County",11,"washington/deep-river",13.276,-123.705,46.3536,"CDP",568
149,149,153,156,170,197,-0.02614,"Southeast","Dixie","WA","Washington","53071|53013","Walla Walla County",348,"washington/dixie",0.428,-118.152,46.1404,"CDP",569
147,147,136,126,0,0,0.08088,"South","Donald","WA","Washington","53077","Yakima County",138,"washington/donald",1.067,-120.397,46.4764,"CDP",570
142,142,137,132,120,126,0.0365,"Southeast","Starbuck","WA","Washington","53013","Columbia County",721,"washington/starbuck",0.197,-118.129,46.5216,"Town",571
136,136,135,136,131,150,0.00741,"East","Farmington","WA","Washington","16057|53075","Latah County",376,"washington/farmington",0.362,-117.046,47.0887,"Town",572
136,136,138,140,142,190,-0.01449,"Southeast","Kahlotus","WA","Washington","53021","Franklin County",358,"washington/kahlotus",0.38,-118.556,46.6432,"City",573
136,136,134,132,79,111,0.01493,"West","Markham","WA","Washington","53027","Grays Harbor County",121,"washington/markham",1.124,-123.988,46.9142,"CDP",574
136,136,141,146,129,207,-0.03546,"West","Porter","WA","Washington","53027|53045","Grays Harbor County",15,"washington/porter",8.873,-123.28,46.9487,"CDP",575
130,130,120,111,190,0,0.08333,"West","Ocosta","WA","Washington","53027","Grays Harbor County",43,"washington/ocosta",3.003,-124.033,46.8855,"CDP",576
129,129,174,219,366,761,-0.25862,"East","Green Bluff","WA","Washington","53063","Spokane County",18,"washington/green-bluff",7.072,-117.275,47.8184,"CDP",577
128,128,119,110,65,0,0.07563,"Central","Sunland Estates","WA","Washington","53017|53025","Douglas County",318,"washington/sunland-estates",0.403,-120.028,47.0741,"CDP",578
126,126,144,162,139,376,-0.125,"West","Hoodsport","WA","Washington","53045","Mason County",120,"washington/hoodsport",1.054,-123.154,47.402,"CDP",579
119,119,120,122,121,106,-0.00833,"East","Waverly","WA","Washington","53063","Spokane County",288,"washington/waverly",0.413,-117.231,47.3381,"Town",580
117,117,120,122,50,151,-0.025,"West","Herron Island","WA","Washington","53053","Pierce County",246,"washington/herron-island",0.476,-122.832,47.2675,"CDP",581
113,113,113,113,118,112,0,"South","Centerville","WA","Washington","53039","Klickitat County",34,"washington/centerville",3.317,-120.908,45.754,"CDP",582
113,113,105,97,77,0,0.07619,"West","Greenwater","WA","Washington","53033|53053","King County",78,"washington/greenwater",1.452,-121.628,47.1442,"CDP",583
111,111,113,115,90,140,-0.0177,"Southwest","Nile","WA","Washington","53077","Yakima County",121,"washington/nile",0.917,-120.944,46.8349,"CDP",584
107,107,115,124,134,227,-0.06957,"Southwest","Alder","WA","Washington","53053","Pierce County",33,"washington/alder",3.213,-122.261,46.782,"CDP",585
106,106,107,108,51,118,-0.00935,"Northeast","Curlew","WA","Washington","53019","Ferry County",140,"washington/curlew",0.755,-118.605,48.8777,"CDP",586
105,105,98,90,126,0,0.07143,"North","Methow","WA","Washington","53047","Okanogan County",156,"washington/methow",0.675,-120.005,48.1311,"CDP",587
104,104,109,114,183,174,-0.04587,"West","Queets","WA","Washington","53009|53031","Clallam County",75,"washington/queets",1.393,-124.345,47.5263,"CDP",588
96,96,89,82,70,0,0.07865,"Northeast","Danville","WA","Washington","53019","Ferry County",545,"washington/danville",0.176,-118.507,48.9936,"CDP",589
94,94,98,102,184,151,-0.04082,"Southwest","Tokeland","WA","Washington","53049","Pacific County",183,"washington/tokeland",0.513,-123.983,46.7088,"CDP",590
93,93,100,107,119,193,-0.07,"Southwest","Upper Elochoman","WA","Washington","53069","Wahkiakum County",64,"washington/upper-elochoman",1.448,-123.325,46.2403,"CDP",591
92,92,99,107,154,200,-0.07071,"West","Ocean City","WA","Washington","53027","Grays Harbor County",28,"washington/ocean-city",3.337,-124.157,47.0825,"CDP",592
91,91,102,113,123,246,-0.10784,"Northwest","Acme","WA","Washington","53073","Whatcom County",61,"washington/acme",1.499,-122.21,48.7164,"CDP",593
